ORF,baseMean,log2FoldChange,lfcSE,pvalue,padj
YAL001C,159.98157550252623,-0.4407779821003017,0.1863046622479984,0.012852995842694745,0.03443688165335138
YAL002W,74.10257592466994,-0.01630219916398911,0.23005994960262785,0.9381946040393557,0.9594318142996929
YAL003W,344.56861186755356,-1.1018663328676952,0.19059083358539372,1.8627959217479264e-9,2.8564492032442746e-8
YAL005C,3185.787968477971,1.1145047389803613,0.15161629163619497,4.616284271159485e-14,1.4734476915499813e-12
YAL007C,67.77330496512705,-0.8666760574535253,0.2421930177855944,1.1605325277241474e-4,6.287645327789592e-4
YAL008W,62.73481376183416,-0.13925627047493125,0.23209690996353216,0.5132431197803169,0.6353871927634488
YAL009W,28.63641672862362,-1.1162267588616335,0.37529656877777207,6.73047653275088e-4,0.002895830672296404
YAL010C,20.417273140676787,-0.9501220277153267,0.4241692905763459,0.00669219371050576,0.02008342036883001
YAL011W,57.00400118625915,1.066712410567989,0.4779821503405477,0.005086682658039069,0.015966909273470577
YAL012W,97.53325139484757,0.020947179481101398,0.21231632459272642,0.9175435647622857,0.9475221543853813
YAL013W,42.69817163703617,0.23937668204974394,0.30059284277867376,0.359966696168654,0.4884668222270113
YAL014C,23.174347276483886,-0.2665024560450235,0.34820625707557273,0.35443731207798473,0.4837579209467823
YAL015C,25.01400684591845,-0.011317518351723585,0.3333945218735,0.9658242671479502,0.9778117429684384
YAL016W,284.49105913739163,-0.4914330700200904,0.20586460035613027,0.010910507064174586,0.029970724035499222
YAL017W,394.59580110317114,-0.07409312422060872,0.1765067233630008,0.6596549572306262,0.759786931519017
YAL018C,2.009259694725892,0.23149514327554158,0.5756253259103966,0.41227227777705844,0.5422788549573716
YAL019W,111.34344646407675,-0.7679140028902184,0.2300256422089987,3.4501001606375604e-4,0.0016248948070107772
YAL020C,18.050571396901525,-1.6126672146706844,0.6280165666241228,0.0010772483449711023,0.0043452469299555515
YAL021C,90.377127440441,-1.3300958950280783,0.36282158276511617,3.7740004937991064e-5,2.3405179408745675e-4
YAL022C,38.084225999059754,-0.699797471960151,0.3753002750283866,0.0236989483713566,0.056694062641538624
YAL023C,174.76826710444857,-0.5687644377681441,0.21546364116483407,0.0046382802499874715,0.014820794291717312
YAL024C,45.91051809335249,-0.6839341697936469,0.31327079384253054,0.012660940028722029,0.034015416646241754
YAL025C,38.51056645948448,-0.9739171223884089,0.3855031671067169,0.002969380992901893,0.01018643374492571
YAL026C,95.29790991932316,-0.979397737784005,0.27806559670198566,1.2380084844378265e-4,6.615854257600869e-4
YAL027W,25.525791007502452,0.10944852380425338,0.31375654413474974,0.6863771041383913,0.779403199454157
YAL028W,20.802003931707752,1.451780131529185,0.4698959259287544,2.666261224695828e-4,0.0012919927535180362
YAL029C,196.11682076743284,-0.7659822006659303,0.20943977863488053,1.0607878034685923e-4,5.816999785033653e-4
YAL030W,92.01502626354753,0.027727254204721004,0.20975026036302205,0.8891024477212985,0.9281369846191231
YAL031C,90.78183312055471,-0.37105699668955283,0.24614267831691933,0.09867125830262713,0.17902264442734914
YAL032C,39.235210415245774,-0.8909951097282245,0.315938885982435,0.0014428572290905765,0.005589644133541527
YAL033W,19.466081649886544,-0.7990149450756246,0.40096764110727945,0.015617527382196076,0.040423859989262914
YAL034C,211.86238808494642,1.5214549185838215,0.24983201380910705,1.7546597785819323e-10,3.2304441628876765e-9
YAL034W-A,11.283629306882341,-0.33186527784942405,0.4073028882541827,0.29329288580460056,0.4211513736749191
YAL035W,397.26217990925585,0.19932390927648927,0.26528989371395256,0.40646642033630787,0.5368166089596094
YAL036C,35.69566883914135,-1.1005862100616814,0.32802368698069123,1.7986319032295588e-4,9.169587819155555e-4
YAL037W,13.703670550230363,-0.3923048836892009,0.5005629680117651,0.2424020002262918,0.3642852987024083
YAL038W,2284.4367973971885,-1.4182136539655898,0.17856536804525927,3.1427211304536177e-16,1.3374783477647895e-14
YAL039C,75.1724083262913,-0.010351033959001226,0.22156796902498407,0.9588465810147992,0.973143678385012
YAL040C,48.713309400010644,-1.5999804506883581,0.36999288721049645,2.244377102595958e-6,1.8993122080037552e-5
YAL041W,57.49879389511217,-0.8319597441763716,0.29338429079809936,0.001642528597539574,0.006231634659786768
YAL042W,70.34840623906365,-0.45199613747620815,0.26233548711167615,0.055552260400729525,0.1129161862004579
YAL043C,31.38700388141585,-0.6744932784712575,0.3889943392716626,0.03384968435001072,0.07530272582864127
YAL044C,134.3927827543094,0.565236098719621,0.19321501010511202,0.0020190565682544344,0.007411199515848932
YAL044W-A,48.29714612497533,0.14702517873401458,0.2872904584554844,0.56472001573809,0.6794920410632663
YAL046C,27.48514599851335,-0.8386144215434027,0.3747381473348027,0.007754722979517636,0.02270363312996365
YAL047C,21.100262577817375,0.12284135884329674,0.37276369817021576,0.682844455021262,0.776596724310587
YAL048C,31.898094678007098,-0.6672793300275488,0.3726886009113149,0.030759936267386188,0.06972331366204519
YAL049C,247.68119802368534,-0.26711786500996015,0.18074087349986628,0.12054774152543414,0.21001984158376588
YAL051W,107.03462714883615,-0.009851530769815866,0.2102108279625272,0.9588936602782334,0.973143678385012
YAL053W,174.3660947480894,-0.9485902498846934,0.2688470176394772,1.1447626080611356e-4,6.230946058519972e-4
YAL054C,115.42718745300145,0.14539454065888224,0.24385135494841467,0.5084394452932588,0.6309032035088334
YAL055W,41.056408994748104,0.30381210087724675,0.38008350146815584,0.3186536683438571,0.4475919605475841
YAL056W,220.58988701139378,-0.9103838606821426,0.25164099508210436,9.047292525168359e-5,5.084664976106581e-4
YAL058W,21.99405336575741,-0.7972477204318655,0.49372958681102935,0.030188455488732335,0.06853487321244832
YAL059W,26.53767543669214,-0.7261675395350019,0.3938888252845199,0.024051526923941306,0.05730410451290357
YAL060W,307.91781794459524,1.8603155879861744,0.2645047099440416,2.1578764594092047e-13,6.092888676014548e-12
YAL061W,169.4955256368945,0.44977865852914706,0.2003330966537058,0.01704074028213038,0.04303609860334996
YAL062W,71.632531836247,-0.4029101672606064,0.26865328134320887,0.09346710143588893,0.1717560346473641
YAL063C,36.45685420825846,0.3818448935284724,0.28450105706625867,0.1301754097386363,0.2232666144728186
YAL065C,4.601852002180134,-0.10495790266525115,0.47340058349717123,0.7309534877397634,0.8130264108686712
YAL067C,60.699813466158616,-1.0130834743704629,0.26626766426408344,3.5867644884600345e-5,2.243262585362614e-4
YAL068C,1.7316244297176162,1.0883514453085985,3.047418812320157,0.0098128596188814185,0.027482558198231078
YAR002C-A,109.01727549513538,-1.2989525769857333,0.2332310279220547,4.351028334097779e-9,6.278523195615788e-8
YAR002W,55.36849216620674,-0.5593675108745194,0.28570058227959394,0.02747206720835133,0.06382256752952822
YAR003W,46.01665238872815,-2.144619656563569,0.3665769016957686,5.436231562097368e-10,9.096007967007931e-9
YAR007C,95.74740989904957,-0.5033326074060704,0.2579883774774345,0.03091044492853287,0.0699748434629309
YAR008W,30.430925143743835,-1.2856377049567516,0.3760413627693337,1.1605121099865804e-4,6.287645327789592e-4
YAR014C,68.484785124021,-1.5921155145991317,0.2843681679664991,3.3725394203028237e-9,5.014411143148983e-8
YAR015W,117.42511564193049,-1.750285096871584,0.23011857789585713,3.584835661808397e-15,1.349598707807738e-13
YAR018C,12.075641699640236,-1.016596089573529,0.5096170571926543,0.00970297596694095,0.027239759968376766
YAR019C,38.52085906040866,-0.03714495772348457,0.27216782666036443,0.8780538570422612,0.9191270788293461
YAR020C,1.4704264814385644,-0.03185758971686381,0.5668077228466953,0.8848237518492441,0.9249857412977235
YAR023C,9.91660351847157,-0.06545371438274668,0.41889839430018294,0.8293832156660511,0.8833818689892488
YAR027W,24.59094583501831,-1.5471901315233527,0.3799542521703799,6.4114560341680995e-6,4.858642746925064e-5
YAR028W,2.841823211841264,-0.03650065252919147,0.5004744174404511,0.8921109501763729,0.9299552024114018
