ORF,baseMean,log2FoldChange,lfcSE,pvalue,padj
YAL001C,159.98157550252623,-0.4205368516336825,0.17407988200303096,0.011400411609010555,0.03278874504393682
YAL002W,74.10257592466994,-1.1734984407729567,0.22525619595957116,3.7022531776303876e-8,4.4193766081754607e-7
YAL003W,344.56861186755356,0.2222229998321753,0.17646528386472676,0.18790742965194146,0.30990742329285376
YAL005C,3185.787968477971,0.22143783508989245,0.1479195391571107,0.1285133478288456,0.23137918203519628
YAL007C,67.77330496512705,1.7693016597370352,0.2555459172754417,4.939855700611892e-13,1.2398193388757967e-11
YAL008W,62.73481376183416,-0.4057409807908867,0.2225752430491437,0.04847290472198045,0.10775222158674913
YAL009W,28.63641672862362,-0.10476827406745823,0.2769399686527188,0.6674220083338953,0.776807264158733
YAL010C,20.417273140676787,0.4196744662872487,0.34953031164588166,0.1469719118538699,0.25758461304618857
YAL011W,57.00400118625915,-0.05615013783756849,0.3711518818092794,0.8459610404068805,0.9067948878097479
YAL012W,97.53325139484757,2.575145826756012,0.27307819783768833,3.3130567909338263e-22,2.0922131756079957e-20
YAL013W,42.69817163703617,0.3240005631745734,0.3078940554573191,0.21976169789529842,0.3493937335514585
YAL014C,23.174347276483886,0.2118668381927653,0.3322454961672867,0.4427783212387293,0.5841096666839715
YAL015C,25.01400684591845,0.3575177761989178,0.3530267516328475,0.21495236964283645,0.3437014067281183
YAL016W,284.49105913739163,-0.13530464984426954,0.1947280615758902,0.46015065309225667,0.6002675321695169
YAL017W,394.59580110317114,-0.8337200259393726,0.1789907571079794,1.082070504882567e-6,9.717125497209962e-6
YAL018C,2.009259694725892,0.48063561171475133,0.7847036491216721,0.08059531632712129,0.16105351915249516
YAL019W,111.34344646407675,0.11490773069383962,0.20506819867730625,0.5555881771122095,0.6866518022264324
YAL020C,18.050571396901525,-0.024336639458624954,0.381365070293116,0.9307439469180643,0.9630477801708583
YAL021C,90.377127440441,-0.3005859240538064,0.2992570293236299,0.24319321024982457,0.3773510498803751
YAL022C,38.084225999059754,-0.23091591080375462,0.3101517772022379,0.3794854955964376,0.5243388465597721
YAL023C,174.76826710444857,0.8453415837666086,0.21777262450743554,3.408463376913121e-5,2.1492412203484614e-4
