ORF,baseMean,log2FoldChange,lfcSE,pvalue,padj
YAL001C,159.98157550252623,-0.8955446731884598,0.18680505907199385,8.25563772299128e-7,4.4198140699296065e-6
YAL002W,74.10257592466994,-1.2040669547726224,0.23293102285464037,8.779673743412096e-8,5.514761913910078e-7
YAL003W,344.56861186755356,-0.8700419190907298,0.1894941851402234,2.271865768895686e-6,1.1146756608792282e-5
YAL005C,3185.787968477971,1.3528670952305095,0.15149525600700478,1.2976228890131679e-19,3.4174615368494775e-18
YAL007C,67.77330496512705,0.8346102537097645,0.2668175880772373,9.289936713494406e-4,0.0026485338989491575
YAL008W,62.73481376183416,-0.578000892055451,0.23770711229841485,0.01085957694945742,0.0234565264524323
YAL009W,28.63641672862362,-1.2869293743861747,0.3686082325253665,1.5534644947270032e-4,5.316723180379773e-4
YAL010C,20.417273140676787,-0.48173663314373233,0.40223130759097087,0.17201116904218577,0.24774607778124394
YAL011W,57.00400118625915,1.0346890088706007,0.4614060001350272,0.008948162164459301,0.019816197734490754
YAL012W,97.53325139484757,2.6022020299428457,0.27505295342004915,3.7536700640981505e-22,1.2247391270249133e-20
YAL013W,42.69817163703617,0.6357965739495006,0.32776128435145724,0.0342438069140971,0.06377397139273748
YAL014C,23.174347276483886,-0.06057368554283061,0.3640456198974006,0.8518819698532574,0.890548737797825
YAL015C,25.01400684591845,0.38934827012115925,0.37566167243749454,0.2433693163701023,0.32880331148875336
YAL016W,284.49105913739163,-0.6542801420968178,0.2070019951741124,0.0010537408744304764,0.002968163144139179
YAL017W,394.59580110317114,-0.9253294302882383,0.18058799472996756,1.437406070425424e-7,8.702975104751047e-7
YAL018C,2.009259694725892,1.9075676756453048,1.6762048830095775,0.01802912939618843,0.03663843492865559
YAL019W,111.34344646407675,-0.6606178706435814,0.2287093717605724,0.002558339462127545,0.0065697978404351
YAL020C,18.050571396901525,-1.7172100343479455,0.6059378204123532,8.137850290049585e-4,0.0023660195422505552
YAL021C,90.377127440441,-1.7476146465568685,0.35611937081981965,1.6660358036002223e-7,9.933632766034626e-7
YAL022C,38.084225999059754,-1.0498845756194723,0.37611177554486924,0.0019714135473592872,0.005196116240935827
YAL023C,174.76826710444857,0.263337403463445,0.2171203692128029,0.20874429685898713,0.28952223211983025
YAL024C,45.91051809335249,-0.40288822679539543,0.30786107729733225,0.158055556441655,0.23177535155601495
YAL025C,38.51056645948448,0.027985588429841484,0.35923668603858233,0.9322356584151801,0.9516982015407219
YAL026C,95.29790991932316,-1.2419527965272859,0.27565938709060717,2.187807543871084e-6,1.0779357135197044e-5
YAL027W,25.525791007502452,-0.24554302813472356,0.3269498977088326,0.41114647502846896,0.5039034225341178
YAL028W,20.802003931707752,0.5162210509692012,0.3925001230712836,0.13459216679935476,0.2035693524626862
YAL029C,196.11682076743284,-0.8310493711162582,0.20850168722351495,3.703090694871646e-5,1.464528730705803e-4
YAL030W,92.01502626354753,-0.16014778892390033,0.2133731393332858,0.43959389317228,0.531508527613216
YAL031C,90.78183312055471,-1.2570074012606436,0.2505700365648487,1.695270156753259e-7,1.0087458592311945e-6
YAL032C,39.235210415245774,-1.0312177213783114,0.31235052007281344,3.8030955707573147e-4,0.0011944160581314283
YAL033W,19.466081649886544,-0.5256492413098286,0.38927303888976117,0.12622506248036372,0.19340119224565644
YAL034C,211.86238808494642,0.8827111574463564,0.24156534099527524,1.3137228913487513e-4,4.5843698995194393e-4
YAL034W-A,11.283629306882341,-0.15369899559149927,0.42757023279071077,0.6743776258732074,0.7452188870868878
YAL035W,397.26217990925585,0.7613265194962255,0.2856573332352842,0.004440508293837983,0.010657582840094186
YAL036C,35.69566883914135,-0.45588708886990076,0.31898434516360213,0.12084801241278231,0.18608819530683549
YAL037W,13.703670550230363,-2.2081003928484466,0.5974652909642618,2.993519300984105e-5,1.2033496820451506e-4
YAL038W,2284.4367973971885,-2.7227319845470586,0.17744352580552167,3.94410057154695e-54,7.721234218898412e-52
YAL039C,75.1724083262913,0.04973512148628225,0.22834991458714343,0.8255138345776083,0.8690164456845839
YAL040C,48.713309400010644,-2.0221377121932362,0.3620139468088716,4.481971509477512e-9,3.3877244112176866e-8
YAL041W,57.49879389511217,-1.3071559786655822,0.29075924077422804,2.130484608024389e-6,1.0523411356540989e-5
YAL042W,70.34840623906365,-0.8086828752414223,0.26592053557587225,0.0012713483477196947,0.0035005292293285354
YAL043C,31.38700388141585,-0.4785974777432338,0.37799035476641507,0.15540646559871532,0.22869009583093336
YAL044C,134.3927827543094,0.991792446564642,0.19944457900204499,2.9606495825784906e-7,1.6947266080393252e-6
YAL044W-A,48.29714612497533,0.16888014494121364,0.30024606015281047,0.5478269782781764,0.6318515010659328
YAL046C,27.48514599851335,0.29738255184736323,0.36975038816150635,0.36900209027431885,0.462177282188329
YAL047C,21.100262577817375,0.043731830474254586,0.4018936182650447,0.9037775416212439,0.9294143761060348
YAL048C,31.898094678007098,-1.5491474940043641,0.37536972314587247,7.869151574765367e-6,3.51984213241409e-5
YAL049C,247.68119802368534,0.033751834201935095,0.18334798212510406,0.8515981077617084,0.8904104836896053
YAL051W,107.03462714883615,-0.7236103418199509,0.21408217685612432,4.3623229363509773e-4,0.0013512617407800257
YAL053W,174.3660947480894,-1.1317345900499423,0.2662974669423421,7.558223887552842e-6,3.3910961720090025e-5
YAL054C,115.42718745300145,0.23538759564596287,0.25217596531426906,0.32685362203372215,0.4179428091016874
YAL055W,41.056408994748104,0.8430805611562228,0.43912840720413626,0.02570084212741653,0.05004676585355348
YAL056W,220.58988701139378,-1.8088828833289994,0.2492286357879838,7.127345397969672e-14,9.826032751707954e-13
YAL058W,21.99405336575741,-1.0774790862673511,0.4914955891276895,0.00961293196048838,0.02109743998652775
YAL059W,26.53767543669214,-0.6299044711556065,0.3857942069028976,0.06530822788220166,0.11091822508738297
YAL060W,307.91781794459524,-0.36763952421258156,0.2427543773066423,0.11214410783239218,0.174100540655469
YAL061W,169.4955256368945,-1.192524221122781,0.192544877472244,2.013019549605972e-10,1.8272741599437209e-9
YAL062W,71.632531836247,0.44084507007357365,0.28182535087949834,0.09534595198994651,0.1527077146998223
YAL063C,36.45685420825846,-0.08445895793536211,0.274917062023587,0.7435548042190635,0.7998653755177166
