ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0007033,vacuole organization,111,-0.389011144009316,-1.5795301567174251,0.0027959675026836064,0.036197025438588534,0.030314173976464364,1225,"tags=35%, list=21%, signal=28%",YLR431C/YNL298W/YDR135C/YPL019C/YPL045W/YNL323W/YDL149W/YHL007C/YNL054W/YFL004W/YDR108W/YKL051W/YPL149W/YDL188C/YHR171W/YLL015W/YPL166W/YEL027W/YNL242W/YLR240W/YLR396C/YBR080C/YOR233W/YGL212W/YFR021W/YBR097W/YIL048W/YHL023C/YJR138W/YPL236C/YMR231W/YGR071C/YOR093C/YLR173W/YEL062W/YGR254W/YAL040C/YPR194C/YHR174W
GO:1901657,glycosyl compound metabolic process,28,-0.6026877300094232,-1.8735157598866992,0.0028465709365898756,0.036293779441520915,0.03039520322243894,980,"tags=36%, list=17%, signal=30%",YDR399W/YDR400W/YMR271C/YCL047C/YPL273W/YJR105W/YOL141W/YER043C/YNL129W/YOR047C
GO:0090407,organophosphate biosynthetic process,275,-0.3091880089749556,-1.4473914885779147,0.002827070954849833,0.036293779441520915,0.03039520322243894,1474,"tags=38%, list=25%, signal=30%",YIL083C/YJR013W/YKR043C/YJL005W/YFR047C/YOR175C/YNL158W/YLR420W/YMR095C/YNL106C/YDR319C/YJR156C/YOR311C/YDR428C/YDR020C/YGR007W/YBR221C/YGR061C/YLR359W/YCL004W/YJR133W/YJL062W/YHL020C/YNL333W/YBL039C/YEL058W/YLR305C/YDR017C/YPL076W/YNL054W/YDR437W/YLR386W/YDR434W/YJL153C/YDR287W/YIL039W/YDR147W/YPL031C/YAR015W/YDR399W/YMR096W/YPL175W/YGR046W/YLR088W/YIL002C/YML126C/YMR120C/YER099C/YOR149C/YMR220W/YFL025C/YLR459W/YDR400W/YEL041W/YLR410W/YBR042C/YLL031C/YOR109W/YLR240W/YHR074W/YNL169C/YLR133W/YLR347C/YNL264C/YMR271C/YDR315C/YCR044C/YHL011C/YCL047C/YGR010W/YEL029C/YMR207C/YOL055C/YMR013C/YDR050C/YAL009W/YMR208W/YGL142C/YCL052C/YNR016C/YBR029C/YJR105W/YOL061W/YJR078W/YHR123W/YGR149W/YLR014C/YLR446W/YKR031C/YLR153C/YCR017C/YKL181W/YNL130C/YHR046C/YER043C/YNR012W/YKR070W/YDR123C/YNR043W/YNL129W/YNL141W/YGR157W/YLR231C/YJL116C
GO:1901135,carbohydrate derivative metabolic process,309,-0.29903907111356004,-1.4173738097008315,0.00297204895253444,0.037608709677559866,0.03149642696829137,1476,"tags=36%, list=25%, signal=28%",YLR213C/YJR013W/YHR204W/YKR043C/YJL005W/YLR354C/YMR323W/YNL158W/YMR237W/YLR420W/YEL004W/YNL219C/YOR163W/YDR414C/YNL048W/YLR020C/YDL093W/YER096W/YJL183W/YDR020C/YGR061C/YGR192C/YLR359W/YLR057W/YJR133W/YIL014W/YOR299W/YJL062W/YJR075W/YNL333W/YBL039C/YEL058W/YDR072C/YOL059W/YPL076W/YDR371W/YDR437W/YOR336W/YDR221W/YDR434W/YIL039W/YAR015W/YDR399W/YPL175W/YOR393W/YLR088W/YGL027C/YOR320C/YMR120C/YER099C/YMR205C/YOR149C/YDR483W/YFL025C/YLR459W/YDR400W/YBL082C/YLL031C/YBR127C/YNL029C/YKR027W/YMR271C/YGR256W/YML019W/YCR044C/YHL011C/YCL047C/YJL139C/YJR061W/YER005W/YGR240C/YMR013C/YDR050C/YPL273W/YJR009C/YNR059W/YGL142C/YCL052C/YDL021W/YML070W/YJR105W/YOR002W/YOL141W/YOL061W/YOR347C/YBR196C/YLR446W/YGL257C/YCR017C/YKL181W/YER043C/YGR254W/YNR012W/YOL056W/YOR067C/YKL152C/YOR344C/YPL075W/YKL060C/YGR036C/YNL129W/YOL136C/YHR183W/YAL038W/YGL253W/YHR174W/YOR047C/YJL116C/YFL053W/YCR012W/YJL052W
GO:0006568,L-tryptophan metabolic process,16,-0.6598499444382013,-1.8466898508062985,0.0030642477001019083,0.037920065288761115,0.03175718011173727,385,"tags=31%, list=7%, signal=29%",YJR078W/YLR044C/YLR134W/YLR231C/YGR087C
GO:0006586,indolalkylamine metabolic process,16,-0.6598499444382013,-1.8466898508062985,0.0030642477001019083,0.037920065288761115,0.03175718011173727,385,"tags=31%, list=7%, signal=29%",YJR078W/YLR044C/YLR134W/YLR231C/YGR087C
GO:0042430,indole-containing compound metabolic process,16,-0.6598499444382013,-1.8466898508062985,0.0030642477001019083,0.037920065288761115,0.03175718011173727,385,"tags=31%, list=7%, signal=29%",YJR078W/YLR044C/YLR134W/YLR231C/YGR087C
GO:0072741,protein localization to cell division site,15,0.7057778671438735,1.8254785050813707,0.0031155225518725376,0.03809293259320394,0.031901952492291386,937,"tags=47%, list=16%, signal=39%",YMR032W/YMR001C/YPL158C/YDR388W/YDR507C/YGR092W/YHR023W
GO:0042773,ATP synthesis coupled electron transport,29,0.5991272264124168,1.7930044927335134,0.0031510693540950986,0.03809293259320394,0.031901952492291386,1170,"tags=55%, list=20%, signal=44%",YOR065W/YDR529C/YEL039C/YFR033C/YJL045W/YPR191W/YKL148C/YJL166W/YMR256C/YGL226W/YGL191W/YJR048W/YDL067C/YLR395C/YHR001W-A/YPR140W
GO:0042775,mitochondrial ATP synthesis coupled electron transport,29,0.5991272264124168,1.7930044927335134,0.0031510693540950986,0.03809293259320394,0.031901952492291386,1170,"tags=55%, list=20%, signal=44%",YOR065W/YDR529C/YEL039C/YFR033C/YJL045W/YPR191W/YKL148C/YJL166W/YMR256C/YGL226W/YGL191W/YJR048W/YDL067C/YLR395C/YHR001W-A/YPR140W
