Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR10551657_1	84.69730535640088	42.0	50.0	50	30.0	9030851.0
SRR10551658_1	83.42789778792616	42.0	50.0	50	30.0	6912070.0
SRR10551659_1	84.64751716809344	42.0	50.0	50	40.0	8765210.0
SRR10551660_1	76.66124992616668	41.0	50.0	50	20.0	5980833.0
SRR10551661_1	78.91290103427032	41.0	50.0	50	20.0	6089675.0
SRR10551662_1	85.82630329070255	45.0	50.0	50	20.0	6309292.0
SRR10551663_1	82.52709953293011	43.0	50.0	50	20.0	6734945.0
SRR10551664_1	81.3979297409751	43.0	50.0	50	20.0	6897699.0
SRR10551665_1	83.16740588043263	43.0	50.0	50	20.0	7528054.0
